X,Y,Z
-4973,2483,2736
-4976,2323,3610
-4794,2527,2677
-4951,2301,3682
-4779,2454,2954
-4608,2402,3000
-4466,2550,2557
-4580,2397,3186
-4607,2372,3203
-4612,2354,3355
-4622,2366,3416
-4375,2557,2418
-4517,2355,3362
-4331,2484,2661
-4238,2546,2414
-4459,2219,4371
-4274,2328,3466
-4212,2318,3488
-3923,2594,2117
-4056,2413,2941
-4132,2189,4677
-3889,2472,1791
-3862,2582,2250
-3933,2375,3086
-3923,2355,3541
-3935,2301,3662
-4048,2157,4054
-3696,2602,2200
-3768,2482,2736
-3972,2183,4531
-3634,2548,1873
-3657,2584,2177
-3522,2531,1819
-3611,2197,4483
-3299,2413,2936
-3423,2333,3289
-3313,2330,3698
-2871,2255,4278
-2613,2395,3735
-2613,2395,3735
-2342,2503,2536
-2719,1679,5512
-5302,2271,3890
-5298,2156,4796
-5301,2158,4799
-5150,2299,3718
-5113,2306,3689
-5217,2225,4263
-4988,2484,2858
-4882,2395,3249
-4882,2395,3249
-4984,2245,4126
-4768,2526,2663
-4578,2544,2500
-4485,2566,2444
-4599,2323,3570
-4363,2533,2478
-4405,2405,3024
-4435,2366,3106
-4423,2330,3435
-4329,2343,3425
-4176,2484,2681
-4086,2530,1909
-4049,2506,2608
-3923,2571,1975
-3836,2559,2443
-3829,2562,2513
-3896,2406,2708
-3877,2412,2948
-3963,2404,2979
-4065,2141,5263
-3695,2499,2575
-3685,2362,3330
-3818,2292,4160
-3751,2244,4205
-3855,2183,4310
-3492,2528,1801
-3565,2406,3247
-3566,2382,3266
-3499,2450,1718
-3461,2469,1757
-3085,2358,3897
-3162,2180,4905
-3008,2375,3038
-2925,2354,3818
-2818,2466,2891
-2962,2287,3222
-2645,2469,3061
-2392,2452,3230
-5256,2224,4246
-5032,2314,3652
-5060,2311,3672
-5126,2235,4199
-4914,2501,2700
-4989,2320,3618
-5022,2316,3643
-5014,2306,3649
-4865,2514,2751
-4810,2513,2771
-4818,2309,3686
-4876,2237,4210
-4960,2208,4518
-4655,2548,2580
-4687,2455,2990
-4770,2342,3443
-4769,2342,3454
-4730,2348,3424
-4783,2342,3465
-4873,2188,4560
-4597,2453,2967
-4634,2394,3153
-4491,2558,2339
-4614,2368,3254
-4425,2538,2533
-4453,2384,3130
-4554,2293,3822
-4600,2231,4113
-4443,2387,3155
-4377,2360,3290
-4475,2235,4535
-4230,2552,2160
-4217,2571,2224
-4206,2570,2283
-4224,2573,2356
-4261,2466,2817
-4350,2399,3002
-4147,2508,2575
-4032,2585,2126
-4010,2584,2131
-4181,2328,3708
-4210,2181,4567
-3911,2559,1933
-4042,2396,2947
-4177,2184,4311
-4144,2196,4397
-3826,2575,1967
-3844,2583,1981
-3830,2585,2067
-3695,2532,2446
-3676,2559,2473
-3815,2382,3241
-3896,2348,3660
-3638,2530,1824
-3599,2569,2412
-3742,2446,2863
-3809,2324,3773
-3742,2259,4111
-3767,2255,4145
-3797,2248,5142
-3797,2248,5142
-3606,2423,1674
-3609,2421,1676
-3578,2359,3460
-3654,2251,5313
-3711,2219,5340
-3359,2521,2507
-3549,2382,3352
-3571,2340,3666
-3257,2576,1880
-3318,2554,2397
-3527,2115,4839
-3310,2380,1629
-3176,2549,1926
-3175,2565,1979
-3190,2475,2768
-3220,2433,3031
-3225,2368,3561
-3262,2352,3823
-2839,2520,1998
-2659,2521,1941
-5124,2293,3741
-5202,2215,4313
-5006,2317,3612
-4982,2316,3631
-4849,2507,2740
-4945,2317,3635
-4888,2309,3711
-4903,2302,3745
-4774,2471,2810
-4745,2482,2907
-4876,2308,3727
-4827,2309,3689
-4827,2309,3689
-4715,2424,3085
-4750,2344,3418
-4794,2327,3551
-4801,2236,4212
-4871,2186,4584
-4556,2548,2311
-4592,2499,2715
-4615,2441,2984
-4624,2367,3247
-4624,2367,3247
-4698,2237,4125
-4758,2228,4170
-4793,2212,4389
-4479,2540,2329
-4492,2548,2444
-4492,2548,2444
-4590,2358,3308
-4588,2361,3317
-4678,2270,4010
-4687,2232,4115
-4695,2152,4863
-4428,2575,2265
-4401,2557,2309
-4403,2571,2489
-4500,2382,3232
-4535,2375,3288
-4482,2374,3259
-4465,2357,3339
-4565,2239,4031
-4563,2224,4691
-4315,2545,2111
-4298,2535,2088
-4343,2576,2351
-4336,2519,2660
-4429,2359,3089
-4422,2337,3495
-4476,2208,4310
-4494,2187,4450
-4494,2187,4450
-4550,2190,4760
-4235,2571,2282
-4219,2552,2429
-4264,2542,2511
-4295,2455,2799
-4291,2442,2854
-4295,2366,3065
-4330,2373,3322
-4436,2244,4200
-4169,2573,2423
-4051,2596,2333
-3960,2509,2635
-4021,2368,3399
-3752,2637,2035
-3658,2536,1817
-3741,2369,3216
-3741,2318,3238
-3735,2342,3392
-3753,2379,3440
-3743,2370,3451
-3832,2284,3848
-3781,2246,4152
-3757,2292,4215
-3820,2234,4229
-3839,2198,4422
-3800,2206,5125
-3541,2578,2335
-3629,2436,2973
-3603,2385,3425
-3631,2358,3587
-3631,2314,3856
-3686,2295,3940
-3696,2269,4261
-3768,2176,4504
-3418,2580,1924
-3327,2569,2407
-3482,2411,2883
-3443,2392,2994
-3469,2372,3256
-3549,2326,3362
-3605,2258,4122
-3635,2237,4220
-3600,2216,4373
-3573,2193,4383
-3597,2190,4418
-3605,2173,4447
-3612,2198,5368
-3612,2198,5368
-3265,2579,2110
-3226,2610,2267
-3307,2398,3089
-3337,2370,3351
-3471,2233,4317
-3523,2157,4496
-3599,2078,4709
-3178,2422,2899
-3379,2287,3075
-3246,2396,3314
-3086,2476,2750
-3141,2414,3101
-3187,2275,4920
-2920,2497,2052
-2991,2425,2904
-3003,2357,3478
-3232,2004,5773
-2582,2514,2592
-2656,2380,1794
-2627,2401,1844
-2569,2346,3707
-2397,2355,3645
-1985,2473,2801
-5051,2302,3676
-4804,2327,3563
-4762,2341,3459
-4700,2373,3389
-4743,2241,4171
-4776,2232,4229
-4466,2567,2203
-4627,2242,4105
-4531,2363,3292
-4292,2470,2862
-4474,2186,4659
-4185,2549,2548
-4197,2524,2608
-4205,2433,2901
-4264,2356,3495
-4263,2355,3564
-4220,2323,3706
-4150,2403,2949
-4193,2348,3816
-4248,2174,4530
-4279,2225,4664
-3980,2426,2953
-4085,2347,3563
-4110,2334,3715
-4117,2322,3738
-4085,2326,3713
-4079,2329,3740
-4048,2356,3875
-4161,2194,4312
-3932,2340,3676
-4054,2216,4405
-4017,2197,4410
-3758,2553,2504
-3866,2405,3030
-3908,2334,3712
-3654,2574,2348
-3759,2319,3382
-3747,2367,3484
-3701,2356,3527
-3811,2286,3986
-3802,2193,4181
-3760,2250,4191
-3835,2277,4309
-3783,2250,4251
-3797,2223,4254
-3772,2225,4268
-3441,2557,2483
-3571,2487,2657
-3712,2270,4091
-3737,2186,4122
-3442,2373,3438
-3475,2320,3786
-3581,2308,3931
-3524,2254,4051
-3349,2336,3768
-3463,2320,3884
-3464,2309,3958
-3273,2366,3657
-3423,2081,4549
-3338,2186,4651
-2969,2392,3280
-3026,2343,3372
-2939,2315,4173
-3409,1611,5713
-2789,2114,5380
-4114,2040,5670
-2003,2410,3670
-2903,2322,4147
-3862,2060,6152
-2648,1670,5892
-4976,2195,4489
-4466,2249,4155
-3514,2386,3311
-3853,2098,5997
-4817,2207,4432
-4784,2173,4675
-4890,2157,4817
-3771,2440,2736
-4207,2321,3590
-4300,2292,3833
-4361,2269,4011
-4792,2149,4868
-3426,2365,3217
-3572,2368,3461
-3992,2260,4902
-3896,2237,4908
-3751,2215,5085
-3643,2074,5698
-4641,2254,4074
-4862,2208,4414
-4573,2259,4102
-4431,2275,3967
-4453,2276,3974
-4931,2130,5000
-4410,2264,4029
-4450,2248,4187
-4902,2134,4980
-4896,2133,4989
-4909,2114,5099
-4966,2117,5118
-4039,2296,3801
-3500,2420,2679
-3666,2387,3241
-3767,2358,3451
-3970,2314,3877
-3868,2174,4771
-3963,2140,4826
-3800,2206,5125
-3745,2172,5296
-3965,2102,5822
-4671,2246,4109
-4649,2243,4133
-4471,2271,4005
-4319,2281,3879
-4078,2303,3766
-4486,2181,4641
-4487,2178,4639
-2751,2532,2644
-3708,2211,5028
-3772,2201,5022
-3795,2153,4981
-3814,2118,5113
-3756,2207,5183
-3904,2092,5981
-3953,2237,3872
-3155,2267,4286
-2641,2350,3919
-602,1540,2973
-4317,2351,3351
-3832,2440,3018
-3613,2472,2673
-3404,1971,4588
-555,1582,8199
-3684,2315,2435
-3478,2421,2539
-4590,2126,5048
-3657,2333,3452
-3012,2436,2990
-3180,2284,3105
-4019,2319,3596
-2808,2485,2491
-3099,2355,3719
-2790,2356,3745
-68,4926,4386
-4134,2395,2988
-3727,2447,2697
-3836,2232,4276
-2856,2506,2700
-3051,2322,4110
-3083,1914,5064
-654,1599,8303
-4686,2287,3856
-4250,2380,3133
-4355,2357,3314
-4408,2332,3515
-3842,2117,5047
-3636,2373,3479
-2329,2437,3587
-4214,2307,2764
-4159,2392,2850
-4275,2391,3054
-4329,2375,3116
-4314,2379,3185
-4306,2378,3205
-4786,2248,4135
-4791,2237,4201
-4116,2412,2959
-4107,2409,2951
-4215,2397,3031
-4715,2246,4145
-3988,2313,2583
