X,Y,Z,SIGNAL_STRENGTH
-3613,2380,3461,86
-3922,2600,2252,100
-5154,2253,4075,100
-5051,2322,3586,87
-4709,2334,3512,100
-4694,2195,4864,100
-4366,2360,3364,100
-4231,2369,3146,100
-4274,2376,3447,82
-4031,2394,2975,75
-3898,2464,2927,89
-3903,2458,2928,89
-3681,2561,2278,63
-3084,2463,2880,62
-4808,2287,3703,0
-4563,2388,3223,87
-4563,2388,3223,87
-4263,2543,2437,91
-4162,2170,4623,100
-3314,2434,2833,99
-2786,2453,2501,76
-4912,2435,2734,0
-4853,2499,2754,33
-4766,2381,3278,100
-4788,2343,3430,87
-4657,2390,2554,0
-4370,2559,2440,75
-4512,2350,3385,85
-4306,2542,2406,83
-4277,2554,2392,63
-4343,2444,2982,85
-4437,2368,3226,100
-4473,2218,4294,100
-4470,2202,4334,100
-4492,2191,4667,100
-4401,2198,4463,100
-4322,2177,4656,100
-4189,2327,3704,93
-4189,2327,3704,93
-4236,2199,4606,100
-3925,2583,2220,67
-3939,2530,2606,100
-4260,2085,5490,100
-3637,2465,2763,80
-3601,2379,3286,84
-3540,2384,3057,100
-3510,2380,3398,86
-2912,2605,2178,57
-3155,2410,3060,73
-2938,2419,2713,0
-2728,2373,3953,98
-3305,1722,5778,34
-2601,2386,3420,52
-2507,2350,3852,44
-4973,2483,2736,92
-4973,2483,2736,92
-4976,2323,3610,48
-4794,2527,2677,76
-4951,2301,3682,84
-4779,2454,2954,57
-4608,2402,3000,83
-4466,2550,2557,100
-4580,2397,3186,100
-4607,2372,3203,72
-4612,2354,3355,100
-4622,2366,3416,100
-4375,2557,2418,85
-4517,2355,3362,100
-4331,2484,2661,100
-4238,2546,2414,66
-4459,2219,4371,100
-4274,2328,3466,100
-4212,2318,3488,87
-3923,2594,2117,87
-4056,2413,2941,80
-4132,2189,4677,100
-3889,2472,1791,79
-3862,2582,2250,75
-3933,2375,3086,100
-3923,2355,3541,100
-3935,2301,3662,100
-4048,2157,4054,100
-3696,2602,2200,92
-3768,2482,2736,97
-3972,2183,4531,100
-3634,2548,1873,72
-3657,2584,2177,66
-3522,2531,1819,45
-3611,2197,4483,100
-3299,2413,2936,100
-3423,2333,3289,91
-3313,2330,3698,84
-2871,2255,4278,50
-2613,2395,3735,81
-2613,2395,3735,81
-2342,2503,2536,70
-2719,1679,5512,83
-5302,2271,3890,99
-5298,2156,4796,93
-5301,2158,4799,93
-5150,2299,3718,82
-5113,2306,3689,84
-5217,2225,4263,100
-4988,2484,2858,26
-4882,2395,3249,100
-4882,2395,3249,100
-4984,2245,4126,100
-4768,2526,2663,82
-4578,2544,2500,96
-4485,2566,2444,62
