X,Y,Z,SIGNAL_STRENGTH
-4.39959,2.21738,4.16013,132.842
-3.35474,2.36428,3.3444,103.92
-3.7639,2.33062,3.76388,143.764
-3.79992,2.31133,3.79318,141.063
-4.90491,2.18027,4.83715,106.216
-4.93882,2.16916,4.86396,140.657
-3.80133,2.26658,3.9688,95.69
-4.48989,2.19308,4.56859,159.543
-4.01742,2.18074,4.33994,0
-4.47846,2.18145,4.67401,128.44
-4.76557,2.14481,4.90544,123.636
-4.71927,2.19342,4.96494,0
-4.70877,2.17501,4.97134,172.329
-3.70801,2.24702,4.21016,110.729
-3.80148,2.22303,4.30644,106.387
-4.13965,2.16129,4.59076,127.298
-4.83697,2.11571,5.10742,110.943
-3.10374,2.34999,3.85915,60.626
-3.6817,2.21814,4.33789,84.566
-3.04119,2.33174,4.04778,97.789
-3.293,2.28337,4.11403,96.828
-3.55116,2.17609,4.45202,125.561
-4.47157,2.09263,5.35541,150.248
-4.69964,2.11127,5.47464,113.814
-4.30496,2.15462,5.48298,80.786
-3.40443,2.16012,4.74381,0
-4.29155,2.01431,5.48949,0
-4.21843,2.15002,5.63361,157.864
-3.47981,1.94245,4.63443,0
-4.10571,2.13445,5.72436,163.244
-4.43438,2.08609,5.782,143.059
-3.15227,2.14608,4.94457,0
-4.0539,2.08423,6.08645,161.141
-2.97472,2.05662,6.12628,221.422
-3.51902,1.97316,6.63173,180.629
-3.18333,1.97199,6.62608,153.192
-4.02714,2.37678,3.18414,94.427
-4.25514,2.36408,3.42265,104.554
-3.78437,2.37297,3.17352,62.277
-4.64267,2.2612,3.8811,119.038
-4.73726,2.26274,3.93352,134.237
-5.19468,2.23077,4.3297,132.813
-3.83513,2.369,3.24978,89.082
-3.88718,2.37791,3.38113,89.665
-4.39629,2.27128,3.90277,104.244
-4.62712,2.23727,4.07871,155.764
-5.04264,2.22322,4.44658,73.786
-5.17342,2.20228,4.53211,116.568
-3.56677,2.38676,3.31876,51.729
-3.56677,2.38676,3.31876,51.729
-3.64925,2.39334,3.31268,55.43
-3.62396,2.39096,3.34491,50.843
-3.6029,2.39433,3.36718,64.245
-3.83832,2.38194,3.48072,84.85
-3.93084,2.33999,3.66751,88.074
-4.13818,2.31185,3.74928,119.009
-4.08014,2.31672,3.7592,141.031
-4.54281,2.24111,4.15905,145.992
-4.64965,2.21859,4.18768,120.401
-4.92304,2.19765,4.51194,134.504
-4.8796,2.18877,4.58068,133.885
-4.76017,2.18708,4.59488,130.995
-5.04247,2.16035,4.76466,131.767
-4.03851,2.22257,4.09061,128.995
-4.79311,2.20338,4.74508,148.13
-4.82814,2.19145,4.81441,162.796
-3.59593,2.32699,3.79557,107.48
-4.41836,2.17808,4.62074,127.152
-3.94485,2.22301,4.345,63.672
-4.01276,2.15658,4.36748,133.087
-4.844,2.12087,5.08229,134.13
-3.71175,2.207,4.31068,100.978
-2.93547,2.3289,4.10406,72.17
-3.40822,2.19807,4.45272,136.094
-3.66101,2.14972,4.61436,121.273
-4.51866,2.12654,5.32835,146.476
-4.55961,2.07146,5.40747,136.244
-4.33784,2.10178,5.41623,188.34
-4.35562,2.10634,5.42764,207.454
-4.57795,2.04461,5.64667,0
-3.37526,1.98644,4.7713,0
-3.37942,1.98361,6.71071,152.11
-2.48971,1.87626,6.68375,0
-3.64705,2.56403,2.3664,69.832
-3.69293,2.58153,2.24923,97.288
-4.1133,43158,000000,3.99044,142.044
-4.7505,2.12302,5.06517,144.08
-4.60116,2.08665,5.35718,125.885
-2.66008,2.11852,5.44567,108.509
-4.33877,2.07188,5.41466,77.942
-2.73908,1.8534,5.96251,173.945
-2.15076,2.50458,2.21731,87.707
-2.60641,1.964,6.0654,173.141
-4.78619,2.13703,5.06207,131.82
-4.74101,2.16094,5.01548,122.732
-4.56391,2.14672,5.19052,129.721
-4.93251,2.22767,4.37839,118.874
-4.85878,2.14868,4.86553,99.775
-4.94237,2.43977,2.66855,21.441
-4.96747,2.16414,4.89297,112.679
-4.57344,2.09261,5.32637,153.08
-4.94901,2.19694,4.69561,102.835
-3.7638,2.32002,3.56792,118.028
-3.61292,2.38035,3.46145,86.099
-3.92199,2.59963,2.25209,107.501
-5.15387,2.2527,4.07483,126.553
-5.05114,2.32242,3.58589,87.259
-4.70918,2.33394,3.51231,126.226
-4.69433,2.19459,4.86388,119.842
-4.36625,2.35979,3.36431,108.44
-4.23061,2.36892,3.14596,130.17
-4.27432,2.37647,3.44715,82.145
-4.03108,2.39353,2.97487,74.811
-3.89834,2.46427,2.92688,Nov.89
-3.90251,2.45789,2.92816,Nov.89
-3.68058,2.56125,2.27827,62.843
-3.08414,2.46322,2.88037,62.327
-4.80849,2.28732,3.70267,0
-4.56313,2.38814,3.22255,86.672
-4.56313,2.38814,3.22255,86.672
-4.2625,2.54295,2.43724,91.441
-4.1619,2.16957,4.62323,161.803
-3.31449,2.4342,2.83259,98.647
-2.78602,2.45303,2.50058,76.49
-4.91191,2.43545,2.73439,0
-4.85309,2.4994,2.75447,32.985
-4.76573,2.38128,3.27764,103.689
-4.78826,2.34324,3.43045,86.825
-4.65696,2.3895,2.55376,0
-4.36998,2.55944,2.44038,74.942
-4.51224,2.35021,3.38468,85.401
-4.30579,2.5417,2.40634,82.921
-4.27703,2.55376,2.39216,62.762
-4.34327,2.44422,2.98209,84.736
-4.43717,2.36843,3.2258,111.151
-4.47324,2.21776,4.29367,141.874
-4.47012,2.20219,4.33447,150.145
-4.492,2.19069,4.66684,171.927
-4.40095,2.1979,4.46295,122.259
-4.32196,2.1765,4.656,157.842
-4.18895,2.32709,3.70441,93.096
-4.18895,2.32709,3.70441,93.096
-4.23618,2.19911,4.60644,143.39
-3.92539,2.58299,2.22017,66.729
-3.93918,2.5295,2.60554,117.772
-4.25961,2.08539,5.4901,160.852
-3.63723,2.46501,2.76284,80.37
-3.60139,2.37868,3.2864,83.811
-3.53961,2.38407,3.05739,122.288
-3.50964,2.38048,3.39758,86.441
-2.91208,2.60539,2.17786,57.017
-3.15549,2.40982,3.06009,73.398
-2.93792,2.41872,2.71286,0
-2.72831,2.37315,3.95287,97.92
-3.30489,1.72152,5.77813,33.697
-2.60053,2.38645,3.41984,52.213
-2.50652,2.34973,3.85151,43.832
-4.97296,2.48318,2.73634,91.885
-4.97296,2.48318,2.73634,91.885
-4.9757,2.32254,3.61014,47.964
-4.79449,2.52652,2.67677,75.825
-4.95114,2.30075,3.68164,83.971
-4.77884,2.45396,2.95385,57.302
-4.60812,2.40228,3.0004,83.102
-4.46644,2.54959,2.55674,100.252
-4.58011,2.39679,3.18572,110.504
-4.60737,2.37223,3.20276,71.932
-4.61218,2.35389,3.35467,112.984
-4.62201,2.36628,3.4161,114.842
-4.37474,2.55743,2.41816,85.291
-4.51737,2.3545,3.3624,102.554
-4.33127,2.48436,2.66089,104.665
-4.23764,2.54646,2.41359,66.327
-4.45877,2.2187,4.37074,121.96
-4.27409,2.32828,3.46569,107.33
-4.21173,2.31836,3.4879,86.797
-3.92335,2.59377,2.11653,87.469
-4.05647,2.4131,2.94075,79.665
-4.13191,2.18872,4.6767,168.803
-3.88893,2.47226,1.79135,78.643
-3.86151,2.58201,2.24976,74.964
-3.93264,2.37469,3.0859,122.914
-3.92298,2.3549,3.54122,114.074
-3.93459,2.30078,3.66197,146.914
-4.04816,2.15718,4.05398,138.984
-3.69627,2.60246,2.19952,92.131
-3.76766,2.48184,2.7359,97.017
-3.97186,2.18276,4.53111,159.76
-3.63394,2.54849,1.87341,72.017
-3.65657,2.58416,2.17739,66.099
-3.5217,2.53144,1.81856,44.832
-3.61104,2.19651,4.48334,121.842
-3.29865,2.41348,2.93626,107.903
-3.42332,2.33348,3.28883,90.789
-3.3126,2.32975,3.69777,83.811
-2.8706,2.25522,4.27795,49.854
-2.61333,2.39464,3.73538,81.002
-2.61333,2.39464,3.73538,81.002
-2.34212,2.50253,2.53646,69.871
-2.71884,1.67946,5.5122,83.319
-5.30161,2.2712,3.88963,99.145
-5.29847,2.15552,4.79577,92.635
-5.30113,2.15792,4.79917,92.635
-5.15028,2.29873,3.71809,82.003
-5.11289,2.3056,3.68939,83.704
-5.21677,2.22477,4.26348,125.553
-4.98754,2.4843,2.8577,26.213
-4.88199,2.3954,3.24886,113.048
-4.88199,2.3954,3.24886,113.048
-4.9837,2.24535,4.12625,125.82
-4.76847,2.52637,2.66291,81.672
-4.57833,2.54394,2.49985,95.932
-4.48489,2.56643,2.44398,61.861
-4.59904,2.32332,3.57016,120.468
-4.36288,2.5332,2.47757,70.409
-4.40543,2.40533,3.02389,118.878
-4.43464,2.36647,3.10618,76.708
-4.42295,2.32968,3.43454,75.786
-4.32857,2.34289,3.42493,85.042
-4.1757,2.48404,2.68142,77.089
-4.08567,2.53017,1.9091,75.854
-4.0487,2.50611,2.60789,120.359
-3.92293,2.57074,1.97488,71.344
-3.83642,2.55893,2.44327,114.202
-3.82912,2.5624,2.51256,86.925
-3.89557,2.40559,2.70752,109.658
-3.87741,2.41192,2.94761,113.572
-3.96331,2.4041,2.97921,90.893
-4.06518,2.14087,5.26308,178.422
-3.69475,2.49943,2.57461,90.772
-3.68464,2.36224,3.33031,113.736
-3.8179,2.29169,4.15976,147.162
-3.75105,2.2439,4.20481,48.491
